x,y
5,250
6,250
7,250
8,250
9,250
10,250
11,250
12,250
13,250
14,250
15,250
16,250
17,250
18,250
19,250
20,250
22,250
23,250
24,250
25,250
26,250
27,250
28,250
29,250
30,250
31,250
32,250
33,250
34,250
35,250
36,250
37,250
38,250
39,250
40,250
41,250
43,250
44,250
45,250
46,250
47,250
48,250
49,250
50,250
51,250
52,250
53,250
54,250
55,250
56,250
57,250
58,250
59,250
60,250
61,250
62,250
63,250
64,250
65,250
66,250
67,250
68,250
69,250
70,250
71,250
72,250
73,250
74,250
75,250
76,250
77,250
78,250
79,250
80,250
81,250
82,250
83,250
84,250
85,250
86,250
87,250
88,250
89,250
90,250
91,250
92,250
93,250
94,250
95,250
96,250
97,250
98,250
99,250
100,250
101,250
102,250
103,250
104,250
105,250
106,250
107,250
108,250
109,250
110,250
111,250
112,250
113,250
114,250
115,250
116,250
117,250
118,250
119,250
120,250
121,250
122,250
123,250
124,250
125,250
126,250
133,249
139,248
147,246
155,244
162,242
172,238
182,233
186,231
191,228
194,226
198,223
202,220
208,215
215,208
220,202
223,198
226,194
228,191
231,186
233,182
238,172
242,162
244,155
246,147
248,139
249,133
250,126
250,125
250,124
250,123
250,122
250,121
250,120
250,119
250,118
250,117
250,116
250,115
250,114
250,113
250,112
250,111
250,110
250,109
250,108
250,107
250,106
250,105
250,104
250,103
250,102
250,101
250,100
250,99
250,98
250,97
250,96
250,95
250,94
250,93
250,92
250,91
250,90
250,89
250,88
250,87
250,86
250,85
250,84
250,83
250,82
250,81
250,80
250,79
250,78
250,77
250,76
250,75
250,74
250,73
250,72
250,71
250,70
250,69
250,68
250,67
250,66
250,65
250,64
250,63
250,62
250,61
250,60
250,59
250,58
250,57
250,56
250,55
250,54
250,53
250,52
250,51
250,50
250,49
250,48
250,47
250,46
250,45
250,44
250,43
250,41
250,40
250,39
250,38
250,37
250,36
250,35
250,34
250,33
250,32
250,31
250,30
250,29
250,28
250,27
250,26
250,25
250,24
250,23
250,22
250,20
250,19
250,18
250,17
250,16
250,15
250,14
250,13
250,12
250,11
250,10
250,9
250,8
250,7
250,6
250,5
