"n_plates","n_trips","r_trips"
1,0,0
2,100362,0.00100362
3,199331,0.00199331
4,296699,0.00296699
5,397077,0.00397077
6,494323,0.00494323
7,589472,0.00589472
8,683188,0.00683188
9,774691,0.00774691
10,863980,0.0086398
11,949173,0.00949173
12,1036726,0.01036726
13,1115917,0.01115917
14,1195037,0.01195037
15,1269555,0.01269555
16,1342670,0.0134267
17,1405607,0.01405607
18,1469721,0.01469721
19,1532629,0.01532629
20,1585886,0.01585886
21,1635741,0.01635741
22,1680326,0.01680326
23,1727899,0.01727899
24,1761393,0.01761393
25,1798175,0.01798175
26,1830433,0.01830433
27,1852730,0.0185273
28,1875900,0.018759
29,1888133,0.01888133
30,1899907,0.01899907
31,1911935,0.01911935
32,1917627,0.01917627
33,1915295,0.01915295
34,1915239,0.01915239
35,1905839,0.01905839
36,1896933,0.01896933
37,1882127,0.01882127
38,1865169,0.01865169
39,1842056,0.01842056
40,1822154,0.01822154
41,1792869,0.01792869
42,1769141,0.01769141
43,1741615,0.01741615
44,1705538,0.01705538
45,1667744,0.01667744
46,1637079,0.01637079
47,1597068,0.01597068
48,1556030,0.0155603
49,1514605,0.01514605
50,1473894,0.01473894
51,1431419,0.01431419
52,1387969,0.01387969
53,1344257,0.01344257
54,1298057,0.01298057
55,1257948,0.01257948
56,1212608,0.01212608
57,1169429,0.01169429
58,1123390,0.0112339
59,1079835,0.01079835
60,1033384,0.01033384
61,993194,0.00993194
62,948253,0.00948253
63,910165,0.00910165
64,867459,0.00867459
65,828444,0.00828444
66,787214,0.00787214
67,747232,0.00747232
68,711500,0.007115
69,672438,0.00672438
70,638862,0.00638862
71,604793,0.00604793
72,573742,0.00573742
73,539942,0.00539942
74,508297,0.00508297
75,479444,0.00479444
76,451050,0.0045105
77,424123,0.00424123
78,396581,0.00396581
79,372855,0.00372855
80,351130,0.0035113
81,326784,0.00326784
82,305382,0.00305382
83,284366,0.00284366
84,266172,0.00266172
85,246837,0.00246837
86,229679,0.00229679
87,214657,0.00214657
88,199413,0.00199413
89,184450,0.0018445
90,171160,0.0017116
91,157289,0.00157289
92,145599,0.00145599
93,134765,0.00134765
94,125116,0.00125116
95,114348,0.00114348
96,105247,0.00105247
97,96742,0.00096742
98,89044,0.00089044
99,81349,0.00081349
100,74463,0.00074463
101,68170,0.0006817
102,62469,0.00062469
103,56864,0.00056864
104,51595,0.00051595
105,47210,0.0004721
106,42389,0.00042389
107,39416,0.00039416
108,35284,0.00035284
109,32210,0.0003221
110,29354,0.00029354
111,26162,0.00026162
112,24007,0.00024007
113,21686,0.00021686
114,19396,0.00019396
115,17390,0.0001739
116,15811,0.00015811
117,14140,0.0001414
118,12870,0.0001287
119,11116,0.00011116
120,10024,0.00010024
121,9169,9.169e-05
122,8398,8.398e-05
123,7265,7.265e-05
124,6529,6.529e-05
125,5828,5.828e-05
126,5126,5.126e-05
127,4579,4.579e-05
128,4177,4.177e-05
129,3769,3.769e-05
130,3297,3.297e-05
131,2876,2.876e-05
132,2538,2.538e-05
133,2238,2.238e-05
134,1991,1.991e-05
135,1768,1.768e-05
136,1614,1.614e-05
137,1361,1.361e-05
138,1138,1.138e-05
139,1005,1.005e-05
140,903,9.03e-06
141,843,8.43e-06
142,757,7.57e-06
143,608,6.08e-06
144,577,5.77e-06
145,466,4.66e-06
146,365,3.65e-06
147,425,4.25e-06
148,325,3.25e-06
149,274,2.74e-06
150,242,2.42e-06
151,194,1.94e-06
152,149,1.49e-06
153,154,1.54e-06
154,121,1.21e-06
155,104,1.04e-06
156,106,1.06e-06
157,80,8e-07
158,65,6.5e-07
159,63,6.3e-07
160,58,5.8e-07
161,60,6e-07
162,40,4e-07
163,36,3.6e-07
164,46,4.6e-07
165,19,1.9e-07
166,15,1.5e-07
167,33,3.3e-07
168,21,2.1e-07
169,18,1.8e-07
170,13,1.3e-07
171,6,6e-08
172,18,1.8e-07
173,6,6e-08
174,5,5e-08
175,10,1e-07
176,8,8e-08
177,0,0
178,7,7e-08
179,0,0
180,2,2e-08
181,7,7e-08
182,2,2e-08
183,2,2e-08
184,0,0
185,0,0
186,2,2e-08
187,0,0
188,0,0
189,0,0
190,0,0
191,0,0
192,0,0
193,0,0
194,0,0
195,0,0
196,2,2e-08
